solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
alkane,C1CCCCCC1,ET30,,SA,-0.5946880464923098,delta,,beta,,n,,SP,-0.188908076923115,N_mol_cm3,-0.3550364960426322,pi_star,,SB,-1.2540447367395788,SdP,-1.4931781014551933,alpha,,fn,
halohydrocarbon,CC(Cl)(Cl)Cl,beta,-1.5057296769025836,SB,-1.1389282921679007,N_mol_cm3,0.16486775387235295,delta,-0.7994570132772064,alpha,-0.5661661976383421,pi_star,-0.3019169906498198,fn,0.12185288485913914,n,0.07105543284005145,ET30,-0.7816160124453319,SP,0.20477862260546978,SdP,-0.009276976265174104,SA,-0.5946880464923098
alkane,C1CCCCCCC1,n,,fn,,beta,,N_mol_cm3,-0.5757779652802797,SdP,-1.4931781014551933,pi_star,,SB,-1.1948419938170016,alpha,,ET30,,SA,-0.5946880464923098,SP,-0.0036437477331927536,delta,
ether,COCCOC,n,-0.8799978270475266,SP,-0.455225550133627,SB,0.6733334495176565,fn,-0.7120497260349752,SdP,0.36169830503233064,delta,-0.5778007074153015,SA,-0.5946880464923098,N_mol_cm3,0.05159252623724453,beta,-0.14127431204741492,pi_star,-0.14503454895897946,alpha,-0.5661661976383421,ET30,-0.4973920079197567
alkane,CC(C)CC(C)(C)C,beta,,SA,-0.5946880464923098,ET30,,SB,-1.273778984380438,pi_star,,SdP,-1.4931781014551933,n,,alpha,,N_mol_cm3,-0.9969294526415805,fn,,delta,,SP,-1.1731248257445757
amine,Nc1ccccc1,beta,0.1582402802378661,fn,2.0864394616525845,SA,0.03573605580965818,N_mol_cm3,0.4291766183542726,delta,1.084621586548983,ET30,0.369491205883247,SdP,1.3440408499081231,SP,2.3700554700126846,pi_star,0.6393776594952213,n,2.48898744950339,SB,-0.5501899042156054,alpha,0.028712073414305834
halohydrocarbon,Fc1c(F)c(F)c(F)c(F)c1F,SdP,-0.7452919343594235,SA,-0.5946880464923098,SB,-1.0271008888696995,fn,-0.7120497260349752,pi_star,-0.9294467574131804,alpha,-0.5661661976383421,delta,-0.8825781279754208,beta,-1.4391708786169657,SP,-1.115229722872725,ET30,-1.065840016970907,N_mol_cm3,-0.23595228237495436,n,-0.8799978270475266
aromatic,CCCCc1ccccc1,fn,0.841017704041417,delta,,alpha,,SB,-0.9284296506654043,SP,0.5289911986878337,pi_star,,SdP,-0.9708449053883065,beta,,N_mol_cm3,-0.8894632110390417,SA,-0.5946880464923098,ET30,,n,0.9253914120610995
ether,C1CCOC1,fn,-0.283836628098881,SdP,0.38840852528575104,pi_star,0.05106850315457052,SB,0.5253265922112134,SP,-0.06153885060504346,alpha,-0.5661661976383421,beta,0.3246372759519112,delta,-0.32843736332065926,N_mol_cm3,0.8329011476178646,n,-0.3964114237148589,SA,-0.5946880464923098,ET30,-0.6110816097299874
ether,COc1ccccc1OC,SA,-0.5946880464923098,ET30,-0.46896960746719973,n,1.634651470282342,SB,-0.3002227674313906,fn,1.4173564961274367,SP,1.5247869680836645,N_mol_cm3,-0.47992969574288,delta,,SdP,0.3053100622751099,pi_star,,beta,,alpha,
misc_N_compound,CN(C)C(=N)N(C)C,SA,-0.5946880464923098,beta,1.35629864937899,fn,0.5728545511259923,alpha,-0.5661661976383421,SdP,0.7326735863298355,SB,1.8705444730631062,delta,-0.38385143978613523,pi_star,0.7570394907633515,SP,0.7026765073033858,ET30,-0.34106880543069107,N_mol_cm3,-0.43055331446603784,n,0.6030004765059878
ester,CCCCOC(C)=O,SA,-0.5946880464923098,N_mol_cm3,-0.5496375281337162,fn,-0.4666751414503073,ET30,-0.45475840724092076,n,-0.6043535771479079,beta,-0.008156715476178831,SdP,0.09459610249812732,SP,-0.5246996735798478,SB,0.30824986816176386,pi_star,-0.4195788219179498,delta,-0.6886288603462545,alpha,-0.5661661976383421
ether,COC(C)(C)C,SB,0.4463896016477771,delta,-1.3813048161647064,ET30,-0.9947840158395134,N_mol_cm3,-0.3143735938146447,beta,,alpha,,n,-1.050865022891735,pi_star,,SP,-1.126808743447095,SA,-0.5946880464923098,fn,-0.865475087238564,SdP,-0.24076555179481712
ether,CC1CCCO1,SB,0.5023033032968778,fn,-0.2978807457910921,SA,-0.5946880464923098,beta,-0.008156715476178831,ET30,-0.738982411766496,N_mol_cm3,0.11549137259551079,SP,-0.22364513864622543,delta,,SdP,0.7860940268366762,pi_star,,alpha,-0.5661661976383421,n,-0.4125309704926163
monohydric_alcohol,CCOC(=O)c1ccccc1O,SB,-0.6422830598729479,SdP,0.5278952310536129,ET30,,n,,fn,,beta,,N_mol_cm3,-0.7761879834039332,SP,1.15425830970382,SA,-0.031127106555702114,delta,,alpha,,pi_star,
ester,CC(=O)OCC(COC(C)=O)OC(C)=O,SdP,0.5427342423055131,beta,,SB,-0.05025563064717593,fn,0.03997302888002252,SA,-0.4848414226063608,alpha,,N_mol_cm3,-1.2060529498140886,n,-0.024049893148706713,delta,0.22570340133410227,ET30,-0.1847456029416245,SP,0.1816205814567295,pi_star,
carboxylic_acid,CC(C)C(=O)O,ET30,,pi_star,,SA,1.8649211405191561,n,,delta,,beta,,SdP,-0.5969018218404217,SP,-0.6983849821953999,SB,-0.49427620256650473,fn,,alpha,,N_mol_cm3,0.37980023707743044
aromatic,CCCCc1ccccc1,pi_star,,delta,,fn,0.841017704041417,SB,-0.9284296506654043,beta,,SA,-0.5946880464923098,n,0.9253914120610995,SdP,-0.9708449053883065,ET30,,alpha,,N_mol_cm3,-0.8894632110390417,SP,0.5289911986878337
aromatic,Cc1cc(C)c(C)c(C)c1,SP,0.7489925896008663,n,,beta,,N_mol_cm3,-0.8226598716644905,fn,,ET30,,SdP,-0.8907142446280454,SA,-0.5946880464923098,SB,-0.8067351235467733,pi_star,,alpha,,delta,
aromatic,Cc1ccc(C)cc1,alpha,-0.5661661976383421,SP,0.6795184661546455,n,1.0350043301498362,fn,0.9313770273063979,ET30,-1.2221632194599736,delta,-0.60550774564804,SdP,-0.9738127076386865,N_mol_cm3,-0.398603891286905,SA,-0.5946880464923098,SB,-0.8922501966571627,beta,-1.1063768871888757,pi_star,-0.53724065318608
monohydric_alcohol,CCOC(=O)c1ccccc1O,fn,,SB,-0.6422830598729479,pi_star,,SA,-0.031127106555702114,N_mol_cm3,-0.7761879834039332,SP,1.15425830970382,SdP,0.5278952310536129,n,,ET30,,beta,,delta,,alpha,
amide,CN(C)P(=O)(N(C)C)N(C)C,SdP,1.771404373962849,SB,1.2554937549229988,delta,-0.5223866309498256,ET30,-0.1136896018102307,alpha,-0.5661661976383421,SP,0.28583176662606075,fn,0.4223440068019189,n,0.42407350727289905,SA,-0.5946880464923098,beta,1.988607233092361,N_mol_cm3,-1.0985867082115497,pi_star,1.188466205413162
alkane,CCCCCCCCCCC,SP,-0.47838359128236724,SA,-0.5946880464923098,ET30,,beta,,alpha,,SB,-1.1553734985352835,n,,fn,,SdP,-1.4931781014551933,N_mol_cm3,-1.3774180377748937,delta,,pi_star,
amine,CCN(CC)CC,n,-0.5092482511591498,pi_star,-1.6746383554446713,alpha,-0.5661661976383421,SB,1.4923047266133076,N_mol_cm3,-0.657103769736255,delta,-1.3813048161647064,SA,-0.5946880464923098,fn,-0.3829404020024077,ET30,-1.3642752217227614,SP,-0.6868059616210298,beta,0.8571076622368549,SdP,-1.172655458414149
